postal_code,gender,age,concern_local,concern_global,information,education,income,concerned_local_binary,concerned_global_binary,informed_binary
M1l,Woman,49,Extremely concerned,Extremely concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,FALSE
M5M,Man,61,Not at all concerned,Not at all concerned,Extremely informed,Post graduate/professional school,Prefer not to answer,FALSE,FALSE,TRUE
M1E,Woman,39,Very concerned,Very concerned,Very informed,"Some community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,TRUE
M4E,Woman,40,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M9r,Man,34,Not very concerned,Donâ€™t know,Very informed,High school or less,Prefer not to answer,FALSE,NA,TRUE
m5t,Man,85,Extremely concerned,Extremely concerned,Very informed,High school or less,Prefer not to answer,TRUE,TRUE,TRUE
M1T,Man,76,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,FALSE
M1p,Woman,62,Very concerned,Very concerned,Very informed,Some university,"$60,001 to $80,000",TRUE,TRUE,TRUE
m1c,Woman,32,Extremely concerned,Extremely concerned,Extremely informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
M1S,Man,69,Extremely concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
m4p,Woman,47,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,FALSE
M1P,Man,32,Not very concerned,Not very concerned,Very informed,Post graduate/professional school,Prefer not to answer,FALSE,FALSE,TRUE
M6N,Man,49,Extremely concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M2H,Man,31,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
M3M,Woman,63,Not very concerned,Not very concerned,Not very informed,"Completed community college, vocational, trade school",Prefer not to answer,FALSE,FALSE,FALSE
M5s,Man,42,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M9V,Man,40,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
m9v,Man,52,Extremely concerned,Extremely concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,FALSE
M4B,Woman,73,Very concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,FALSE
M4l,Man,57,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
m4j,Man,34,Extremely concerned,Extremely concerned,Extremely informed,"Completed community college, vocational, trade school","Under $40,000",TRUE,TRUE,TRUE
m5v,Man,38,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,TRUE
M5B,Man,44,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M1T,Man,35,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M6G,Man,58,Very concerned,Very concerned,Very informed,Some university,"More than $150,000",TRUE,TRUE,TRUE
M5s,Man,52,Not very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$80,001 to $100,000",FALSE,TRUE,FALSE
M4S,Woman,73,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,FALSE
M4N,Woman,75,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M1V,Man,54,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"Under $40,000",TRUE,TRUE,FALSE
m5v,Woman,44,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
m1p,Woman,63,Very concerned,Very concerned,Very informed,High school or less,Prefer not to answer,TRUE,TRUE,TRUE
m1b,Man,55,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,TRUE
m3m,Man,61,Not very concerned,Not very concerned,Very informed,High school or less,"$60,001 to $80,000",FALSE,FALSE,TRUE
M9R,Woman,22,Very concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M9C,Woman,76,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
M4H,Woman,70,Very concerned,Extremely concerned,Very informed,High school or less,"Under $40,000",TRUE,TRUE,TRUE
m4a,Man,51,Not very concerned,Not very concerned,Very informed,Prefer not to answer,Prefer not to answer,FALSE,FALSE,TRUE
M6H,Man,28,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
M1J,Woman,58,Extremely concerned,Extremely concerned,Not very informed,High school or less,"$100,001 to $150,000",TRUE,TRUE,FALSE
m4t,Man,83,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M9c,Woman,25,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,FALSE
M4M,Man,55,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
m2j,Woman,33,Very concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","$60,001 to $80,000",TRUE,TRUE,TRUE
M3H,Woman,67,Very concerned,Not very concerned,Not very informed,Some university,"$60,001 to $80,000",TRUE,FALSE,FALSE
M3J,Man,40,Not very concerned,Not very concerned,Not very informed,"Completed community college, vocational, trade school","$60,001 to $80,000",FALSE,FALSE,FALSE
m3j,Woman,35,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,FALSE
M1H,Man,72,Extremely concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,TRUE
M5R,Woman,67,Very concerned,Extremely concerned,Very informed,Prefer not to answer,Prefer not to answer,TRUE,TRUE,TRUE
m4k,Woman,30,Extremely concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M6B,Man,24,Not very concerned,Very concerned,Very informed,High school or less,"$100,001 to $150,000",FALSE,TRUE,TRUE
M4H,Woman,27,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
M5V,Man,48,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M8V,Woman,65,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M1V,Woman,50,Not very concerned,Not at all concerned,Extremely informed,Prefer not to answer,Prefer not to answer,FALSE,FALSE,TRUE
M2J,Transgender,38,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M4T,Woman,40,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
m1c,Woman,39,Very concerned,Very concerned,Not very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,FALSE
m9w,Man,48,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
M8Y,Man,42,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,FALSE
m5h,Man,43,Not very concerned,Not very concerned,Very informed,Post graduate/professional school,"More than $150,000",FALSE,FALSE,TRUE
m1e,Man,32,Extremely concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","$100,001 to $150,000",TRUE,TRUE,FALSE
M9W,Man,64,Very concerned,Not very concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,FALSE,TRUE
m9b,Man,40,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
m9a,Prefer not to say,49,Very concerned,Not very concerned,Extremely informed,"Completed community college, vocational, trade school","Under $40,000",TRUE,FALSE,TRUE
M9p,Man,48,Not very concerned,Not very concerned,Extremely informed,Completed undergraduate degree,Prefer not to answer,FALSE,FALSE,TRUE
M9R,Woman,58,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
M8z,Man,36,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,FALSE
M4L,Woman,47,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M9W,Man,53,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,FALSE
M9C,Woman,38,Not very concerned,Very concerned,Very informed,Some university,"$80,001 to $100,000",FALSE,TRUE,TRUE
M9A,Woman,53,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M8V,Woman,64,Extremely concerned,Extremely concerned,Extremely informed,High school or less,"Under $40,000",TRUE,TRUE,TRUE
M9L,Woman,52,Very concerned,Not very concerned,Extremely informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,FALSE,TRUE
M6b,Man,58,Not very concerned,Not very concerned,Extremely informed,Completed undergraduate degree,"More than $150,000",FALSE,FALSE,TRUE
M9p,Woman,60,Extremely concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,TRUE
M6K,Woman,52,Very concerned,Very concerned,Very informed,Some university,Prefer not to answer,TRUE,TRUE,TRUE
M6K,Man,47,Very concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","Under $40,000",TRUE,TRUE,TRUE
M6s,Man,39,Very concerned,Very concerned,Extremely informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M6R,Man,58,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,FALSE
M6H,Woman,37,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
M6H,Woman,38,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
M9C,Woman,65,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"Under $40,000",TRUE,TRUE,TRUE
m6h,Man,41,Not very concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",FALSE,TRUE,TRUE
m6p,Man,36,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M5M,Woman,62,Not very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",FALSE,TRUE,TRUE
m5m,Woman,48,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M6J,Woman,71,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,TRUE
M5R,Woman,63,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,FALSE
M9V,Woman,36,Very concerned,Very concerned,Very informed,High school or less,"$60,001 to $80,000",TRUE,TRUE,TRUE
M4G,Man,63,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M6M,Man,55,Extremely concerned,Extremely concerned,Very informed,High school or less,"$60,001 to $80,000",TRUE,TRUE,TRUE
M4K,Man,65,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M8V,Man,64,Extremely concerned,Extremely concerned,Extremely informed,Some university,Prefer not to answer,TRUE,TRUE,TRUE
M2L,Man,65,Not very concerned,Very concerned,Very informed,Prefer not to answer,Prefer not to answer,FALSE,TRUE,TRUE
M6h,Woman,51,Extremely concerned,Very concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
M1P,Woman,52,Very concerned,Extremely concerned,Very informed,Prefer not to answer,Prefer not to answer,TRUE,TRUE,TRUE
M6J,Man,64,Very concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M9A,Woman,51,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M6B,Man,40,Not very concerned,Not very concerned,Not very informed,High school or less,"$60,001 to $80,000",FALSE,FALSE,FALSE
M1E,Woman,77,Extremely concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","$60,001 to $80,000",TRUE,TRUE,FALSE
M9l,Man,56,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M1p,Man,47,Not very concerned,Not very concerned,Not very informed,High school or less,"$100,001 to $150,000",FALSE,FALSE,FALSE
m1m,Man,42,Very concerned,Very concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
m4j,Woman,40,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M3J,Woman,57,Very concerned,Very concerned,Not very informed,High school or less,"$80,001 to $100,000",TRUE,TRUE,FALSE
M4n,Man,63,Not at all concerned,Not very concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",FALSE,FALSE,FALSE
M6H,Woman,57,Extremely concerned,Extremely concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
m8v,Man,50,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M1r,Woman,42,Not at all concerned,Not very concerned,Very informed,Post graduate/professional school,Prefer not to answer,FALSE,FALSE,TRUE
m1m,Man,51,Not very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$60,001 to $80,000",FALSE,TRUE,TRUE
M8V,Woman,46,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M5V,Woman,53,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M6P,Man,44,Not very concerned,Very concerned,Very informed,Completed undergraduate degree,Prefer not to answer,FALSE,TRUE,TRUE
M6l,Man,43,Very concerned,Very concerned,Not very informed,High school or less,"$60,001 to $80,000",TRUE,TRUE,FALSE
M8Y,Woman,42,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M4M,Man,56,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M4n,Man,55,Very concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
m4p,Man,35,Extremely concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
m4m,Man,56,Very concerned,Not very concerned,Not very informed,Post graduate/professional school,"More than $150,000",TRUE,FALSE,FALSE
M1B,Woman,70,Very concerned,Very concerned,Not very informed,High school or less,"Under $40,000",TRUE,TRUE,FALSE
m2h,Man,66,Extremely concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","$60,001 to $80,000",TRUE,TRUE,TRUE
m6p,Man,53,Not very concerned,Very concerned,Not very informed,Completed undergraduate degree,"Under $40,000",FALSE,TRUE,FALSE
m3n,Man,20,Very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,FALSE
M8X,Man,46,Very concerned,Very concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
M6C,Man,66,Very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,FALSE
M9V,Man,63,Very concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,FALSE
m6e,Woman,41,Very concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M1H,Woman,47,Very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school","More than $150,000",TRUE,TRUE,FALSE
M6H,Woman,38,Extremely concerned,Very concerned,Not very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,FALSE
M1K,Man,38,Very concerned,Very concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
M4X,Man,58,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M1E,Man,81,Extremely concerned,Extremely concerned,Very informed,Some university,"$60,001 to $80,000",TRUE,TRUE,TRUE
M3h,Woman,43,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M3K,Man,24,Not at all concerned,Not at all concerned,Extremely informed,Completed undergraduate degree,Prefer not to answer,FALSE,FALSE,TRUE
m5a,Woman,45,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
m1c,Man,62,Not very concerned,Extremely concerned,Very informed,Some university,"$80,001 to $100,000",FALSE,TRUE,TRUE
M3C,Man,50,Very concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
M6s,Man,42,Very concerned,Very concerned,Very informed,High school or less,"$40,001 to $60,000",TRUE,TRUE,TRUE
M5M,Man,20,Extremely concerned,Extremely concerned,Very informed,Some university,"$60,001 to $80,000",TRUE,TRUE,TRUE
M6P,Woman,38,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M2R,Woman,64,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
m2n,Man,35,Not very concerned,Very concerned,Very informed,Completed undergraduate degree,"More than $150,000",FALSE,TRUE,TRUE
m4m,Man,36,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
m4c,Man,37,Not very concerned,Not very concerned,Not very informed,Some university,"$60,001 to $80,000",FALSE,FALSE,FALSE
m2j,Man,49,Extremely concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
m4e,Woman,36,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M5V,Man,75,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,FALSE
M8X,Man,77,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,FALSE
m6h,Woman,41,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"Under $40,000",TRUE,TRUE,TRUE
M1V,Woman,79,Not very concerned,Not very concerned,Not very informed,"Some community college, vocational, trade school",Prefer not to answer,FALSE,FALSE,FALSE
m5a,Woman,43,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
M6J,Man,41,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,FALSE
M5a,Man,36,Extremely concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","More than $150,000",TRUE,TRUE,TRUE
m6n,Woman,59,Extremely concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,FALSE
M1C,Man,64,Very concerned,Very concerned,Very informed,Post graduate/professional school,"Under $40,000",TRUE,TRUE,TRUE
m6h,Woman,66,Very concerned,Extremely concerned,Very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,TRUE
M1p,Man,45,Not at all concerned,Not at all concerned,Very informed,Completed undergraduate degree,"Under $40,000",FALSE,FALSE,TRUE
m2n,Woman,36,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,FALSE
m3j,Woman,66,Very concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M1B,Woman,60,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M1C,Man,47,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,TRUE
M2M,Man,43,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
M1V,Woman,73,Not very concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",FALSE,TRUE,FALSE
m6m,Prefer not to say,42,Not at all concerned,Not at all concerned,Extremely informed,Prefer not to answer,Prefer not to answer,FALSE,FALSE,TRUE
M3L,Man,114,Very concerned,Very concerned,Extremely informed,"Some community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
m1b,Woman,63,Very concerned,Very concerned,Not at all informed,Completed undergraduate degree,"Under $40,000",TRUE,TRUE,FALSE
M4x,Woman,64,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M2n,Woman,61,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M8Z,Man,53,Extremely concerned,Extremely concerned,Extremely informed,"Some community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,TRUE
M2N,Woman,41,Very concerned,Extremely concerned,Not very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,FALSE
m3l,Man,37,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M2J,Woman,65,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
m4c,Man,45,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M1R,Woman,74,Not at all concerned,Not at all concerned,Very informed,"Completed community college, vocational, trade school",Prefer not to answer,FALSE,FALSE,TRUE
M1K,Man,65,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,FALSE
M4C,Man,39,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M4v,Woman,56,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M9V,Woman,26,Very concerned,Extremely concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,FALSE
M9P,Woman,36,Very concerned,Very concerned,Not very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,FALSE
M6L,Man,58,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M9L,Woman,18,Extremely concerned,Extremely concerned,Very informed,Some university,"Under $40,000",TRUE,TRUE,TRUE
M4j,Woman,50,Extremely concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,FALSE
m6s,Woman,67,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M6G,Woman,60,Very concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M2M,Woman,50,Very concerned,Very concerned,Not very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,FALSE
M2J,Man,42,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"Under $40,000",TRUE,TRUE,TRUE
M2N,Man,75,Not very concerned,Not very concerned,Not very informed,High school or less,"$60,001 to $80,000",FALSE,FALSE,FALSE
M6J,Woman,47,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
m6k,Man,41,Very concerned,Very concerned,Very informed,Some university,"$80,001 to $100,000",TRUE,TRUE,TRUE
M4Y,Man,45,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"$60,001 to $80,000",TRUE,TRUE,TRUE
m4s,Man,48,Not at all concerned,Not at all concerned,Very informed,Post graduate/professional school,"$40,001 to $60,000",FALSE,FALSE,TRUE
M2H,Man,72,Not very concerned,Not very concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",FALSE,FALSE,FALSE
M4Y,Man,53,Not very concerned,Not at all concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",FALSE,FALSE,TRUE
M6M,Woman,60,Extremely concerned,Extremely concerned,Not very informed,"Completed community college, vocational, trade school","Under $40,000",TRUE,TRUE,FALSE
M6G,Man,54,Extremely concerned,Extremely concerned,Extremely informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
m2k,Man,40,Very concerned,Very concerned,Not at all informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,FALSE
m5n,Man,65,Not very concerned,Not very concerned,Not very informed,Post graduate/professional school,"$100,001 to $150,000",FALSE,FALSE,FALSE
M6A,Woman,31,Very concerned,Very concerned,Not very informed,High school or less,"Under $40,000",TRUE,TRUE,FALSE
M2H,Man,59,Extremely concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M4L,Woman,79,Very concerned,Very concerned,Not very informed,High school or less,"$60,001 to $80,000",TRUE,TRUE,FALSE
m1b,Woman,44,Very concerned,Very concerned,Very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
M1B,Man,62,Not very concerned,Not very concerned,Very informed,High school or less,Prefer not to answer,FALSE,FALSE,TRUE
