id,park,latitude,longitude,total,larvae,adults,positive,year,negative
1,Algonquin Island,43.62612,-79.360567,1,0,1,0,2013,1
2,Algonquin Island,43.62612,-79.360567,0,0,0,0,2014,0
3,Danforth Birchmount Parkette,43.695657,-79.266877,0,0,0,0,2014,0
4,Rouge Park,43.811851,-79.151299,3,0,3,0,2014,3
5,Wards Island,43.629883,-79.349769,0,0,0,0,2014,0
6,Algonquin Island,43.62612,-79.360567,2,0,2,0,2015,2
7,Bob Hunter Park,43.802283,-79.161945,0,0,0,0,2015,0
8,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2015,0
9,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2015,1
10,Centre Island,43.618094,-79.386014,0,0,0,0,2015,0
11,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2015,0
12,Cudia Park,43.723959,-79.221507,0,0,0,0,2015,0
13,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2015,0
14,Greenvale Park,43.756853,-79.202446,0,0,0,0,2015,0
15,Grey Abbey Park,43.755269,-79.17296,0,0,0,0,2015,0
16,Guildwood Park,43.748537,-79.191287,0,0,0,0,2015,0
17,Hanlan's Point,43.613139,-79.383364,0,0,0,0,2015,0
18,Humber River,43.724878,-79.608907,0,0,0,0,2015,0
19,Joyce Trimmer Park,43.806838,-79.189336,0,0,0,0,2015,0
20,Lavender Creek,43.674271,-79.479888,0,0,0,0,2015,0
21,Leslie Grove Park,43.663346,-79.333525,0,0,0,0,2015,0
22,Milkman’s Lane,43.67845,-79.372299,0,0,0,0,2015,0
23,Morningside Park,43.776814,-79.199891,4,0,4,0,2015,4
24,Panorama Park,43.746303,-79.579918,0,0,0,0,2015,0
25,Pine Point Park,43.716392,-79.540814,0,0,0,0,2015,0
26,Rouge Park,43.811851,-79.151299,10,0,10,1,2015,9
27,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2015,0
28,South Marine Drive Park,43.737444000000004,-79.201418,0,0,0,0,2015,0
29,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2015,0
30,Sylvan Park,43.729052,-79.214018,0,0,0,0,2015,0
31,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2015,0
32,Wards Island,43.629883,-79.349769,0,0,0,0,2015,0
33,Algonquin Island,43.62612,-79.360567,8,0,8,0,2016,8
34,Bickford Park,43.65874,-79.42116,0,0,0,0,2016,0
35,Bloordale Park,43.638226,-79.572831,0,0,0,0,2016,0
36,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2016,0
37,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2016,1
38,Centre Island,43.618094,-79.386014,0,0,0,0,2016,0
39,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2016,0
40,Colonel Danforth Trail,43.780349,-79.178148,8,0,8,1,2016,7
41,Cudia Park,43.723959,-79.221507,0,0,0,0,2016,0
42,David A. Balfour Park,43.686161,-79.388775999999993,0,0,0,0,2016,0
43,Eglinton Park,43.707535,-79.405068,0,0,0,0,2016,0
44,Etienne Brule Park,43.651811,-79.490275,0,0,0,0,2016,0
45,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2016,0
46,Etobicoke Valley Park,43.602787,-79.556213,0,0,0,0,2016,0
47,Finch Hydro Corridor,43.791856,-79.381808,0,0,0,0,2016,0
48,Glen Stewart Park,43.676572,-79.293242,0,0,0,0,2016,0
49,Hanlan's Point,43.613139,-79.383364,0,0,0,0,2016,0
50,High Park,43.640264,-79.459314,0,0,0,0,2016,0
51,Humberwood Park,43.724041,-79.610324,0,0,0,0,2016,0
52,Iroquois Park,43.803838,-79.269558,0,0,0,0,2016,0
53,Joyce Trimmer Park,43.806838,-79.189336,0,0,0,0,2016,0
54,June Rowlands Park,43.700742,-79.388588,0,0,0,0,2016,0
55,Morningside Park,43.776814,-79.199891,14,0,14,0,2016,14
56,Northwood Park,43.747583,-79.497263,0,0,0,0,2016,0
57,Pine Point Park,43.716392,-79.540814,0,0,0,0,2016,0
58,Rennie Park,43.645352,-79.475089,0,0,0,0,2016,0
59,Riverdale Park East,43.669827,-79.355428,0,0,0,0,2016,0
60,Rouge Park,43.811851,-79.151299,63,0,63,29,2016,34
61,Rowntree Mills Park,43.747986,-79.571159,1,0,1,0,2016,1
62,Summerlea Park,43.724281,-79.36532,0,0,0,0,2016,0
63,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2016,0
64,Sylvan Park,43.729052,-79.214018,0,0,0,0,2016,0
65,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2016,0
66,Toronto Hunt Club,43.6813,-79.2726,0,0,0,0,2016,0
67,Wards Island,43.629883,-79.349769,0,0,0,0,2016,0
68,West Dean Park,43.659821,-79.563278,0,0,0,0,2016,0
69,Algonquin Island,43.62612,-79.360567,2,0,2,0,2017,2
70,Anewen Greenbelt,43.730593,-79.318885,0,2,0,0,2017,0
71,Bloordale Park,43.638226,-79.572831,0,0,0,0,2017,0
72,Cedar Ridge Park,43.757969,-79.2087,0,0,0,0,2017,0
73,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2017,0
74,Cherry Beach Sports Field,43.640747,-79.341216,0,0,0,0,2017,0
75,Colonel Danforth Trail,43.780349,-79.178148,5,0,5,0,2017,5
76,Cudia Park,43.723959,-79.221507,0,0,0,0,2017,0
77,David A. Balfour Park,43.686161,-79.388775999999993,0,0,0,0,2017,0
78,Doris McCarthy Trail,43.7269,-79.214,1,0,1,0,2017,1
79,Earl Bales Park,43.753634,-79.43183,0,0,0,0,2017,0
80,Etienne Brule Park,43.651811,-79.490275,0,0,0,0,2017,0
81,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2017,0
82,Etobicoke Valley Park,43.602787,-79.556213,0,0,0,0,2017,0
83,Finch Hydro Corridor,43.791856,-79.381808,0,0,0,0,2017,0
84,G. Ross Lord Park,43.778234,-79.46093,0,0,0,0,2017,0
85,Guild Park,43.746621,-79.190198,0,0,0,0,2017,0
86,High Park,43.640264,-79.459314,0,0,0,0,2017,0
87,Highland Creek Park,43.761387,-79.203228,3,9,3,1,2017,2
88,Humberwood Park,43.724041,-79.610324,0,0,0,0,2017,0
89,Iroquois Park,43.803838,-79.269558,0,0,0,0,2017,0
90,Lambton Park,43.664009,-79.504019,0,0,0,0,2017,0
91,Manhattan Park – Massey Creek,43.753545,-79.294463,0,0,0,0,2017,0
92,Martin Goodman Trail,43.63705,-79.34447,0,0,0,0,2017,0
93,Morningside Park,43.776814,-79.199891,14,0,14,1,2017,13
94,Northwood Park,43.747583,-79.497263,0,0,0,0,2017,0
95,Pine Point Park,43.716392,-79.540814,1,0,1,0,2017,1
96,Rennie Park,43.645352,-79.475089,0,0,0,0,2017,0
97,Riverdale Park East,43.669827,-79.355428,0,0,0,0,2017,0
98,Rouge Park,43.811851,-79.151299,122,0,122,63,2017,59
99,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2017,0
100,Sherwood Park,43.716402,-79.385619,0,0,0,0,2017,0
101,Summerlea Park,43.724281,-79.36532,0,0,0,0,2017,0
102,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2017,0
103,Sylvan Park,43.729052,-79.214018,0,0,0,0,2017,0
104,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2017,0
105,Toronto Hunt Club,43.6813,-79.2726,2,0,2,0,2017,2
106,West Dean Park,43.659821,-79.563278,0,0,0,0,2017,0
107,Amberdale Ravine,43.764401,-79.250568,0,0,0,0,2018,0
108,Anewen Greenbelt,43.730593,-79.318885,1,2,1,0,2018,1
109,Bestview Park,43.802815,-79.38387,0,0,0,0,2018,0
110,Betty Sutherland Park,43.765333,-79.351473,0,0,0,0,2018,0
111,Bob Hunter Park,43.802283,-79.161945,0,0,0,0,2018,0
112,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2018,0
113,Brookbanks Park,43.752359,-79.329472,0,0,0,0,2018,0
114,Cedar Ridge Park,43.757969,-79.2087,2,9,2,0,2018,2
115,Centre Island,43.618094,-79.386014,1,0,1,1,2018,0
116,Charles Sauriol Conservation Area,43.734522,-79.329934,1,0,1,0,2018,1
117,Cherry Beach,43.63705,-79.34447,0,0,0,0,2018,0
118,Colonel Danforth Trail,43.780349,-79.178148,56,0,56,18,2018,38
119,Cudia Park,43.723959,-79.221507,0,0,0,0,2018,0
120,David A. Balfour Park,43.686161,-79.388775999999993,0,0,0,0,2018,0
121,Doris McCarthy Trail,43.7269,-79.214,1,0,1,0,2018,1
122,Earl Bales Park,43.753634,-79.43183,0,0,0,0,2018,0
123,Etienne Brule Park,43.651811,-79.490275,0,0,0,0,2018,0
124,Etobicoke Valley Park,43.602787,-79.556213,0,0,0,0,2018,0
125,G. Ross Lord Park,43.778234,-79.46093,0,0,0,0,2018,0
126,Greenvale Park,43.756853,-79.202446,0,0,0,0,2018,0
127,Guild Park and Gardens,43.746621,-79.190198,1,0,1,0,2018,1
128,High Park,43.640264,-79.459314,0,0,0,0,2018,0
129,Humberwood Park,43.724041,-79.610324,1,0,1,0,2018,1
130,Lambton Park,43.664009,-79.504019,0,0,0,0,2018,0
131,Magwood Park,43.657497,-79.497658,0,0,0,0,2018,0
132,Martin Goodman Trail,43.63705,-79.34447,0,0,0,0,2018,0
133,McCowan Park,43.748362,-79.236204,0,0,0,0,2018,0
134,Moore Ravine Park,43.694749,-79.38045,0,0,0,0,2018,0
135,Northwood Park,43.747583,-79.497263,0,0,0,0,2018,0
136,Park Drive Reservation Lands,43.679848,-79.377823,0,0,0,0,2018,0
137,Pine Point Park,43.716392,-79.540814,0,0,0,0,2018,0
138,Rennie Park,43.645352,-79.475089,0,0,0,0,2018,0
139,Riverdale Park East,43.669827,-79.355428,0,0,0,0,2018,0
140,Rouge Park,43.811851,-79.151299,11,0,11,7,2018,4
141,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2018,0
142,Sherwood Park,43.716402,-79.385619,0,0,0,0,2018,0
143,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2018,0
144,Sylvan Park,43.729052,-79.214018,1,0,1,0,2018,1
145,Taylor Creek Park,43.698874000000004,-79.306537,0,0,0,0,2018,0
146,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2018,0
147,Upper Rouge Trail Park,43.809749,-79.187157,19,0,19,10,2018,9
148,Warden Woods Park,43.704404,-79.282249,0,0,0,0,2018,0
149,Wards Island,43.629883,-79.349769,1,0,1,0,2018,1
150,West Don Parklands,43.768532,-79.448439,0,0,0,0,2018,0
151,Wilket Creek Park,43.723265,-79.35078,0,0,0,0,2018,0
152,Windfields Park,43.742739,-79.375184,0,0,0,0,2018,0
153,Amberdale Ravine,43.764401,-79.250568,3,0,3,0,2019,3
154,Anewen Greenbelt,43.730593,-79.318885,0,0,0,0,2019,0
155,Bestview Park,43.802815,-79.38387,0,0,0,0,2019,0
156,Bob Hunter Park,43.802283,-79.161945,1,0,1,0,2019,1
157,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2019,0
158,Brookbanks Park,43.752359,-79.329472,0,0,0,0,2019,0
159,Cedar Ridge Park,43.757582,-79.206307,2,0,2,0,2019,2
160,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2019,0
161,Colonel Danforth Trail,43.780349,-79.178148,2,0,2,0,2019,2
162,Cudia Park,43.723959,-79.221507,0,0,0,0,2019,0
163,Earl Bales Park,43.753634,-79.43183,0,0,0,0,2019,0
164,G. Ross Lord Park,43.778234,-79.46093,0,0,0,0,2019,0
165,Greenvale Park,43.756853,-79.202446,0,0,0,0,2019,0
166,Guild Park and Gardens,43.746621,-79.190198,1,0,1,0,2019,1
167,Highland Creek Park,43.761387,-79.203228,2,0,2,0,2019,2
168,High Park,43.640264,-79.459314,2,0,2,0,2019,2
169,Hinder Area,43.761438,-79.43598,0,0,0,0,2019,0
170,Humberwood Park,43.724041,-79.610324,0,0,0,0,2019,0
171,Lambton Park,43.664009,-79.504019,1,0,1,0,2019,1
172,Magwood Park,43.657497,-79.497658,1,0,1,0,2019,1
173,McCowan Park,43.748362,-79.236204,1,0,1,0,2019,1
174,Moore Ravine Park,43.694749,-79.38045,0,0,0,0,2019,0
175,Morningside Park,43.776814,-79.199891,6,0,6,1,2019,5
176,Pine Point Park,43.716392,-79.540814,0,0,0,0,2019,0
177,Rouge Park: Glen Eagle Vista Trail,43.808778,-79.158593,52,0,52,25,2019,27
178,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2019,0
179,Scarborough Crescent Park,43.704145,-79.2417,0,0,0,0,2019,0
180,Sherwood Park,43.716402,-79.385619,0,0,0,0,2019,0
181,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2019,0
182,Sylvan Park,43.729052,-79.214018,0,0,0,0,2019,0
183,Taylor Creek Park,43.698874000000004,-79.306537,0,0,0,0,2019,0
184,Toronto Islands: Algonquin Island Park,43.621925,-79.363238,7,0,7,0,2019,7
185,Toronto Islands: Centre Island,43.62083,-79.379481,1,0,1,0,2019,1
186,Toronto Islands: Ward's,43.626964,-79.356551,1,0,1,0,2019,1
187,Upper Rouge Trail Park,43.810163,-79.187138,39,0,39,9,2019,30
188,Warden Woods Park,43.704404,-79.282249,0,0,0,0,2019,0
189,West Deane Park (North),43.661328,-79.560164,1,0,1,1,2019,0
190,Wilket Creek Park,43.723265,-79.35078,0,0,0,0,2019,0
191,Windfields Park,43.742739,-79.375184,0,0,0,0,2019,0
